class,iou,dice,precision,recall
book,0.32127906374254644,0.3831161427232169,0.7218228107487263,0.3742898117965261
bottle,0.34788171580283667,0.4446010793226715,0.5109899817662615,0.6552842835566145
bowl,0.38192943577488686,0.44970253410719263,0.643558238496786,0.5173159614951132
cell phone,0.0,0.0,0.0,0.0
cup,0.45547645116812624,0.5203419517271906,0.7312197485026122,0.5236615328970785
overall,0.3402162654450603,0.40329945456311783,0.644376246856768,0.4472042776503625
