prompt,mean_similarity_on_cifar_cat,mean_delta_vs_plain_cat_prompt,fraction_higher_than_plain_cat_prompt
a photo of a dog-like cat.,0.24894511699676514,-0.009345374070107937,0.06700000166893005
a photo of a toy cat.,0.2512623071670532,-0.007028173189610243,0.1509999930858612
a photo of a cartoon cat.,0.2521533668041229,-0.00613712053745985,0.17499999701976776
a photo of a cat in water.,0.23645013570785522,-0.02184034325182438,0.01600000075995922
a photo of a cat on a road.,0.2306763082742691,-0.027614187449216843,0.013000000268220901
not a cat.,0.23013955354690552,-0.028150947764515877,0.012000000104308128
